Date,Realized 5-day PnL,Historical VaR,Parametric VaR,Monte Carlo VaR,EWMA VaR,GARCH VaR,FHS VaR
2006-11-24,5642.544565423945,,,,,,
2006-11-27,4978.417453034696,,,,,,
2006-11-28,8061.481356054461,,,,,,
2006-11-29,10663.712652627872,,,,,,
2006-11-30,1083.3251826525034,,,,,,
2006-12-01,-6054.433565383758,,,,,,
2006-12-04,-12039.96496909425,,,,,,
2006-12-05,-10109.167384349796,,,,,,
2006-12-06,-17954.56697946485,,,,,,
2006-12-07,-13534.2014878078,,,,,,
2006-12-08,-447.6456922564709,,,,,,
2006-12-11,9837.34919181171,,,,,,
2006-12-12,10814.51202198403,,,,,,
2006-12-13,16555.67306918773,,,,,,
2006-12-14,18495.270106234846,,,,,,
2006-12-15,4017.536621036659,,,,,,
2006-12-18,-4789.785660635193,,,,,,
2006-12-19,-12012.399850950966,,,,,,
2006-12-20,-9841.91147390009,,,,,,
2006-12-21,-5778.008616044577,,,,,,
2006-12-22,-9139.15314532039,,,,,,
2006-12-26,-4332.167750364278,,,,,,
2006-12-27,-5230.89692001494,,,,,,
2006-12-28,-9498.828725865005,,,,,,
2007-01-03,-13849.403059444436,,,,,,
2007-01-04,-12670.299911856837,,,,,,
2007-01-05,-7852.9998512969005,,,,,,
2007-01-08,5023.415889042372,,,,,,
2007-01-09,8779.608802656428,,,,,,
2007-01-10,1007.744284146515,,,,,,
2007-01-11,6297.208621070563,,,,,,
2007-01-12,-7589.617525808941,,,,,,
2007-01-16,-18538.794938380906,,,,,,
2007-01-17,-20988.37973703419,,,,,,
2007-01-18,-5595.351471674243,,,,,,
2007-01-19,-7906.461288273828,,,,,,
2007-01-22,-938.4138595473407,,,,,,
2007-01-23,-44.61042208235826,,,,,,
2007-01-24,4965.857774004887,,,,,,
2007-01-25,-6205.851370327887,,,,,,
2007-01-26,4222.703886126197,,,,,,
2007-01-29,16730.795663953904,,,,,,
2007-01-30,21081.33346221329,,,,,,
2007-01-31,22041.955925123973,,,,,,
2007-02-01,25730.158958784734,,,,,,
2007-02-02,17629.97542854173,,,,,,
2007-02-05,5853.780010342355,,,,,,
2007-02-06,-878.6051584792633,,,,,,
2007-02-07,-2892.3443446306364,,,,,,
2007-02-08,3757.201991599267,,,,,,
2007-02-09,6479.576575715643,,,,,,
2007-02-12,9589.698710763745,,,,,,
2007-02-13,16942.78481697605,,,,,,
2007-02-14,15163.838065449298,,,,,,
2007-02-15,8684.591273526228,,,,,,
2007-02-16,7186.892592688224,,,,,,
2007-02-20,7250.726302355051,,,,,,
2007-02-21,-5454.931096740937,,,,,,
2007-02-22,-15415.95977391752,,,,,,
2007-02-23,-32849.9248765715,,,,,,
2007-02-26,-22240.924098988693,,,,,,
2007-02-27,-20619.48914712274,,,,,,
2007-02-28,-4349.457824699157,,,,,,
2007-03-05,5393.279437245924,,,,,,
2007-03-06,27324.748371894282,,,,,,
2007-03-07,11040.05018272958,,,,,,
2007-03-08,1450.1991894991475,,,,,,
2007-03-09,3865.6230873852323,,,,,,
2007-03-12,6298.419377942058,,,,,,
2007-03-13,9304.079107254382,,,,,,
2007-03-14,16587.4864347679,,,,,,
2007-03-15,26932.945236751137,,,,,,
2007-03-16,19045.338309014292,,,,,,
2007-03-19,14993.14671012661,,,,,,
2007-03-20,5872.282296793831,,,,,,
2007-03-21,2335.375286354236,,,,,,
2007-03-22,-7502.32091613626,,,,,,
2007-03-23,-2469.860887507203,,,,,,
2007-03-26,821.224853609371,,,,,,
2007-03-27,3157.8354688892873,,,,,,
2007-03-28,8183.92562521322,,,,,,
2007-03-29,20387.900537272206,,,,,,
2007-03-30,15635.05236667154,,,,,,
2007-04-02,19197.413323863635,,,,,,
2007-04-03,18290.87871218024,,,,,,
2007-04-04,15417.500294098812,,,,,,
2007-04-05,14736.461819650447,,,,,,
