Date,^KS11,^KQ11,IEF,^GSPC
2022-11-04,2348.429931640625,693.8900146484375,82.07210540771484,3770.550048828125
2022-11-07,2371.7900390625,700.47998046875,81.78221130371094,3806.800048828125
2022-11-08,2399.0400390625,713.3300170898438,82.326904296875,3828.110107421875
2022-11-09,2424.409912109375,714.5999755859375,82.60803985595703,3748.570068359375
2022-11-10,2402.22998046875,707.780029296875,84.46171569824219,3956.3701171875
2022-11-11,2483.159912109375,731.219970703125,84.28601837158203,3992.929931640625
2022-11-14,2474.64990234375,729.5399780273438,84.08396911621094,3957.25
2022-11-15,2480.330078125,744.9600219726562,84.70767974853516,3991.72998046875
2022-11-16,2477.449951171875,743.0999755859375,85.33146667480469,3958.7900390625
2022-11-17,2442.89990234375,737.5399780273438,84.75163269042969,3946.56005859375
2022-11-18,2444.47998046875,731.9199829101562,84.45292663574219,3965.340087890625
2022-11-21,2419.5,718.5700073242188,84.40023803710938,3949.93994140625
2022-11-22,2405.27001953125,712.260009765625,84.8834228515625,4003.580078125
2022-11-23,2418.010009765625,725.5900268554688,85.34024810791016,4027.260009765625
2022-11-25,2437.860107421875,733.5599975585938,85.3138656616211,4026.1201171875
2022-11-28,2408.27001953125,717.9000244140625,85.34903717041016,3963.93994140625
2022-11-29,2433.389892578125,727.5399780273438,84.98883056640625,3957.6298828125
2022-11-30,2472.530029296875,729.5399780273438,85.75316619873047,4080.110107421875
2022-12-01,2479.840087890625,740.5999755859375,86.68980407714844,4076.570068359375
2022-12-02,2434.330078125,732.9500122070312,86.86585235595703,4071.699951171875
2022-12-05,2419.320068359375,733.3200073242188,85.98552703857422,3998.840087890625
2022-12-06,2393.159912109375,719.4400024414062,86.51374816894531,3941.260009765625
2022-12-07,2382.81005859375,718.1400146484375,87.27075958251953,3933.919921875
2022-12-08,2371.080078125,712.52001953125,86.77779388427734,3963.510009765625
2022-12-09,2389.0400390625,719.489990234375,86.13521575927734,3934.3798828125
